"","cn","days","webid","groupsize","webidnum"
"1",3.01794871794872,1,"25A",25,13
"2",3.01452282157676,1,"25D",25,14
"3",3.10950950950951,1,"25F",25,15
"4",3.03099510603589,1,"25G",25,16
"5",3.02762430939227,1,"10B",10,1
"6",3.08881578947368,1,"10C",10,2
"7",2.97907949790795,1,"10D",10,3
"8",3,1,"10E",10,4
"9",2.99060402684564,1,"10F",10,5
"10",2.96276595744681,1,"10G",10,6
"11",3.06590257879656,1,"5E",5,17
"12",2.48780487804878,1,"5F",5,18
"13",2.81481481481481,1,"5H",5,19
"14",2.4,1,"1A",1,7
"15",1,1,"1B",1,8
"16",1,1,"1C",1,9
"17",2.57142857142857,1,"1D",1,10
"18",2.82608695652174,1,"1F",1,11
"19",2.2,1,"1G",1,12
"20",3.05964467005076,2,"25A",25,13
"21",3.03698722259583,2,"25D",25,14
"22",3.12517462978486,2,"25F",25,15
"23",3.04180064308682,2,"25G",25,16
"24",3.01449275362319,2,"10B",10,1
"25",3.08237378210806,2,"10C",10,2
"26",3.05891472868217,2,"10D",10,3
"27",3.0595009596929,2,"10E",10,4
"28",2.95977011494253,2,"10F",10,5
"29",2.99815837937385,2,"10G",10,6
"30",3.0495867768595,2,"5E",5,17
"31",3.0448343079922,2,"5F",5,18
"32",2.88495575221239,2,"5H",5,19
"33",2.98148148148148,2,"1A",1,7
"34",2.6,2,"1B",1,8
"35",3.02119460500963,2,"1C",1,9
"36",2.6,2,"1D",1,10
"37",2.87272727272727,2,"1F",1,11
"38",2.8955223880597,2,"1G",1,12
"39",3.10625852992786,3,"25A",25,13
"40",3.00600919052669,3,"25D",25,14
"41",3.12719949120204,3,"25F",25,15
"42",3.08539365246362,3,"25G",25,16
"43",2.97894736842105,3,"10B",10,1
"44",3.07921494443131,3,"10C",10,2
"45",3.09545049063336,3,"10D",10,3
"46",3.07954545454545,3,"10E",10,4
"47",3.06229235880399,3,"10F",10,5
"48",3.05691056910569,3,"10G",10,6
"49",3.05487804878049,3,"5E",5,17
"50",3.04,3,"5F",5,18
"51",2.83568075117371,3,"5H",5,19
"52",2.98830409356725,3,"1A",1,7
"53",2.88888888888889,3,"1B",1,8
"54",2.6,3,"1C",1,9
"55",2.96296296296296,3,"1D",1,10
"56",2.97260273972603,3,"1F",1,11
"57",2.84615384615385,3,"1G",1,12
"58",3.10146022155086,4,"25A",25,13
"59",3.10153952603356,4,"25D",25,14
"60",3.1139489194499,4,"25F",25,15
"61",3.11061998371525,4,"25G",25,16
"62",3.01754385964912,4,"10B",10,1
"63",3.0213312773066,4,"10C",10,2
"64",3.08483290488432,4,"10D",10,3
"65",3.08600508905852,4,"10E",10,4
"66",3.06266666666667,4,"10F",10,5
"67",3.03858636855391,4,"10G",10,6
"68",3.03890410958904,4,"5E",5,17
"69",3.0188679245283,4,"5F",5,18
"70",2.94658753709199,4,"5H",5,19
"71",3.09361069836553,4,"1A",1,7
"72",2.25,4,"1B",1,8
"73",2.75675675675676,4,"1C",1,9
"74",2.90526315789474,4,"1D",1,10
"75",3,4,"1F",1,11
"76",2.89655172413793,4,"1G",1,12
"77",3.07913508693714,5,"25A",25,13
"78",3.12558782849239,5,"25D",25,14
"79",3.08660742961139,5,"25F",25,15
"80",3.09449143800289,5,"25G",25,16
"81",3.09579439252336,5,"10B",10,1
"82",3.05827787860456,5,"10C",10,2
"83",3.11183027687882,5,"10D",10,3
"84",3.05576012624934,5,"10E",10,4
"85",3.02926396689329,5,"10F",10,5
"86",3.0573476702509,5,"10G",10,6
"87",3.03213049925853,5,"5E",5,17
"88",3.01530612244898,5,"5F",5,18
"89",2.98013245033113,5,"5H",5,19
"90",3.08561928512053,5,"1A",1,7
"91",2.71698113207547,5,"1B",1,8
"92",2.68,5,"1C",1,9
"93",2.99186991869919,5,"1D",1,10
"94",3.01162790697674,5,"1F",1,11
"95",3.03073286052009,5,"1G",1,12
