"","poresize","days","webid","groupsize","webidnum"
"1",398.91156462585,1,"25A",25,13
"2",310.066790352505,1,"25D",25,14
"3",259.808080808081,1,"25F",25,15
"4",377.130681818182,1,"25G",25,16
"5",317.928571428571,1,"10B",10,1
"6",201.128318584071,1,"10C",10,2
"7",222.846153846154,1,"10D",10,3
"8",236.254901960784,1,"10E",10,4
"9",245.941520467836,1,"10F",10,5
"10",265.535714285714,1,"10G",10,6
"11",287.225988700565,1,"5E",5,17
"12",1524.65,1,"5F",5,18
"13",430,1,"5H",5,19
"14",184.5,1,"1A",1,7
"15",118.333333333333,1,"1B",1,8
"16",0,1,"1C",1,9
"17",201.333333333333,1,"1D",1,10
"18",274.5,1,"1F",1,11
"19",45,1,"1G",1,12
"20",307.449315068493,2,"25A",25,13
"21",252.831444759207,2,"25D",25,14
"22",179.572120038722,2,"25F",25,15
"23",359.593220338983,2,"25G",25,16
"24",258.266666666667,2,"10B",10,1
"25",167.378091872792,2,"10C",10,2
"26",190.340163934426,2,"10D",10,3
"27",177.950819672131,2,"10E",10,4
"28",257.982954545455,2,"10F",10,5
"29",312.202380952381,2,"10G",10,6
"30",188.759322033898,2,"5E",5,17
"31",262.445054945055,2,"5F",5,18
"32",259.404255319149,2,"5H",5,19
"33",216.52,2,"1A",1,7
"34",166.666666666667,2,"1B",1,8
"35",188.147058823529,2,"1C",1,9
"36",187.125,2,"1D",1,10
"37",247.0625,2,"1F",1,11
"38",191,2,"1G",1,12
"39",232.697522816167,3,"25A",25,13
"40",383.866396761134,3,"25D",25,14
"41",196.003673094582,3,"25F",25,15
"42",225.363304981774,3,"25G",25,16
"43",221.464788732394,3,"10B",10,1
"44",176.074829931973,3,"10C",10,2
"45",151.580547112462,3,"10D",10,3
"46",157.249180327869,3,"10E",10,4
"47",189.314285714286,3,"10F",10,5
"48",236.454148471616,3,"10G",10,6
"49",174.50146627566,3,"5E",5,17
"50",234.904545454545,3,"5F",5,18
"51",442.111111111111,3,"5H",5,19
"52",363.05,3,"1A",1,7
"53",375.333333333333,3,"1B",1,8
"54",221,3,"1C",1,9
"55",153.611111111111,3,"1D",1,10
"56",207.666666666667,3,"1F",1,11
"57",177.285714285714,3,"1G",1,12
"58",204.168591224018,4,"25A",25,13
"59",180.011527377522,4,"25D",25,14
"60",202.201904761905,4,"25F",25,15
"61",202.578657865787,4,"25G",25,16
"62",221.436893203883,4,"10B",10,1
"63",206.316666666667,4,"10C",10,2
"64",177.007547169811,4,"10D",10,3
"65",145.186495176849,4,"10E",10,4
"66",190.336244541485,4,"10F",10,5
"67",190.203846153846,4,"10G",10,6
"68",173.430985915493,4,"5E",5,17
"69",339.808035714286,4,"5F",5,18
"70",377.857142857143,4,"5H",5,19
"71",161.542857142857,4,"1A",1,7
"72",111.5,4,"1B",1,8
"73",187.428571428571,4,"1C",1,9
"74",133.896551724138,4,"1D",1,10
"75",166.8,4,"1F",1,11
"76",212.285714285714,4,"1G",1,12
"77",219.478474784748,5,"25A",25,13
"78",174.063492063492,5,"25D",25,14
"79",217.810126582278,5,"25F",25,15
"80",192.725430597771,5,"25G",25,16
"81",231.934426229508,5,"10B",10,1
"82",182.248251748252,5,"10C",10,2
"83",142.285294117647,5,"10D",10,3
"84",169.950354609929,5,"10E",10,4
"85",365.699481865285,5,"10F",10,5
"86",163.259649122807,5,"10G",10,6
"87",169.678260869565,5,"5E",5,17
"88",312.22268907563,5,"5F",5,18
"89",304.115384615385,5,"5H",5,19
"90",172.620689655172,5,"1A",1,7
"91",179.8,5,"1B",1,8
"92",290.222222222222,5,"1C",1,9
"93",155.172413793103,5,"1D",1,10
"94",203.625,5,"1F",1,11
"95",165.615384615385,5,"1G",1,12
